"Subject","issue_description","Case Summary","Issue Summary","resolution","Account Name","Case Number"
"API version update of apex classes","API version update of apex classes","The conversation focused on updating the API version of Apex classes and determining if certain classes and triggers were part of managed packages. The agent provided steps to grant login access and confirmed that the specified classes were not part of managed packages. The agent also clarified the package providers and confirmed that no action was needed for certain packages.","API version update of Apex classes and managed package verification.","The agent confirmed the classes were not part of managed packages and clarified the package providers.","Pentegra Retirement Solutions","470076848"
"i need help with a flow that is causing a process gap","i need help with a flow that is causing a process gap","The agent welcomed the end user to Salesforce Chat Support and requested their contact number and time zone. The end user provided the information, and the agent proposed a screen-sharing session to troubleshoot the issue.","issue unavailable","resolution unavailable","LS Networks","470077585"
"I'm getting this error code when processing a closed won project: Closed Won Opportunity Screenflow Subflow ""Standard_FlowFaultScreen"" is invalid: In the input assignment, AttemptedActionInput isn't a variable in the referenced flow. Validated against ver","I'm getting this error code when processing a closed won project: Closed Won Opportunity Screenflow Subflow ""Standard_FlowFaultScreen"" is invalid: In the input assignment, AttemptedActionInput isn't a variable in the referenced flow. Validated against ver","The end user reported an error when processing a closed won project in Salesforce. The error message indicated an invalid subflow in the input assignment. The agent suggested a screen-sharing session to troubleshoot the issue.","Error in processing closed won project due to invalid subflow.","The agent proposed a screen-sharing session to resolve the issue.

Advised the end user to reach their system admin as this error is stemming from flow and can be better addressed by their system admin","Counsilman-Hunsaker and Associates, Inc.","470096591"
"need to find activity that attach email template","need to find activity that attach email template","The end user requested screen sharing multiple times and provided their contact number and time zone. The agent responded by providing a Google Meet link for screen sharing.","The end user needed assistance with creating a report on users sending emails to contacts.","The agent provided a Google Meet link for screen sharing to assist with the report creation.

Archived activities can't be fetched into reports and can only be seen via soql by checking 'add deleted records' checkbox in salesforce inspector or workbench","Swimlane","470096797"
"I was trying to run a scheduled flow called 'Bizible Scheduled Flow' however running into an issue where it's erroring out because of UNABLE_TO_LOCK_ROW - is there a way that I can create a loop or something so that this can get updated via this flow?","I was trying to run a scheduled flow called 'Bizible Scheduled Flow' however running into an issue where it's erroring out because of UNABLE_TO_LOCK_ROW - is there a way that I can create a loop or something so that this can get updated via this flow?","The agent and the end user discussed troubleshooting a matter through a screen-sharing session. The end user agreed to proceed with the session.","Troubleshooting a matter","The issue was addressed by agreeing to a screen-sharing session.","Anaconda Inc.","470119540"
"We created connected app and we are getting error. {     ""error"": ""invalid_grant"",     ""error_description"": ""authentication failure"" }","We created connected app and we are getting error. {     ""error"": ""invalid_grant"",     ""error_description"": ""authentication failure"" }","The end user reported issues with a connected app for clay integration and requested a call for resolution. The agent agreed and provided a Google Meet link. The end user shared a specific URL related to the connected app. The agent concluded the chat by offering further assistance if needed.","Issues with a connected app for clay integration.","The agent agreed to a call to resolve the issue.

Cx was using 'password+refresh_token'. Removed '+' and issue was resolved.","Hackerrank","470121004"
"Hi, I want to see if you can help me with a release update that happened with LinkedIn.  I was for the Lead API, but we aren't connected with that.","Hi, I want to see if you can help me with a release update that happened with LinkedIn.  I was for the Lead API, but we aren't connected with that.","The end user sought assistance with a LinkedIn release update and encountered an error while following the steps. The agent suggested a screen-sharing session to troubleshoot the issue. The end user clarified their current LinkedIn connections and expressed concerns about disconnecting LinkedIn Navigator. They agreed to discuss further via Google Meet.","Error encountered during LinkedIn release update.","The issue was addressed through a Google Meet session for detailed troubleshooting.","Enfusion Ltd. LLC","470122955"
"System Permission Update at profile level","System Permission Update at profile level","summary unavailable","issue unavailable","duplicate of 470142419","Trimble Illuminate","470142593"
"Flow issues","Flow issues","The end user requested assistance with a particular flow and asked to be connected to an agent. The chatbot provided tenant details and connected the user to a service representative. The agent agreed to a screen connect session.","End user experiencing issues with a particular flow.","The agent agreed to a screen connect session to diagnose the issue.

After giving access of field to affected user, issue was resolved","Onriva LLC","470144374"
"Transfer to agent","Transfer to agent","The end user requested to be transferred to an agent and inquired about the status of a specific issue causing major revenue impact. The agent attempted to connect the end user with a support engineer and confirmed the contact details. The end user was informed about the email limits and the reset time. The issue was escalated to an engineer who contacted the end user directly.","Major revenue impact due to email limits being struck.","The issue was escalated to an engineer who contacted the end user directly.

dup of 470142304","Sky UK Limited (OTT EU Central)","470144857"
"Making Country state picklist queries","Making Country state picklist queries","The conversation focused on configuring Salesforce to use country picklists while leaving state fields as free-text. The agent provided detailed instructions on how to achieve this and explained the scanning process for existing values in Salesforce. The end user expressed satisfaction with the provided solution.","Configuring Salesforce picklists for country and state fields.","The agent provided step-by-step instructions and additional resources to configure the picklists.","Mizuho Bank Limited","470151575"
"when i user being added to chatter group they will receive notification that you are being added to this group. I just want to stop that notification to go out not all notification from Chatter.","when i user being added to chatter group they will receive notification that you are being added to this group. I just want to stop that notification to go out not all notification from Chatter.","The end user inquired about stopping notifications when users are added to a Chatter group. The agent confirmed that there is no native way to stop these notifications from the UI and suggested voting for the feature on the Ideas site. The agent also mentioned a potential workaround using Apex triggers.","Stopping notifications for users added to Chatter groups.","The issue can be potentially resolved using Apex triggers as a workaround.","UT Health San Antonio - Strong Star Training","470153984"
"Please identify this error message:  Salesforce Error ID: 1409146072-511157","Please identify this error message:  Salesforce Error ID: 1409146072-511157","The end user reported an error message when running a flow in a Salesforce sandbox. The agent requested screen-sharing, but the end user was unable to comply due to a meeting. The agent then asked for the org ID and login access to reproduce the error. The error was identified as a data type mismatch in a formula. The agent explained why detailed error information was not included in the email and provided steps to view failed flow details.","Error message when running a flow in Salesforce sandbox.","The agent identified the error as a data type mismatch and provided steps to view detailed error information.","Republic Services Procurement Inc.*","470164669"
"I can't access my sandbox after initial creation. To make sure I was using the correct password, I reset my password and then created another sandbox and I still had the issue.","I can't access my sandbox after initial creation. To make sure I was using the correct password, I reset my password and then created another sandbox and I still had the issue.","The end user experienced issues accessing a newly created sandbox despite resetting the password. The agent identified that the username had an appended .invalid, which was causing the access issue. The agent removed the .invalid and reset the password, resolving the problem.","Access issues to a newly created sandbox due to an appended .invalid in the username.","The agent removed the .invalid from the username and reset the password.","Southwest Airlines Co.","470166025"
"I can no longer switch between lightning and classic. There is only one process that I need to run at month end where I still need to switch to classic but I no longer see the option! Help!","I can no longer switch between lightning and classic. There is only one process that I need to run at month end where I still need to switch to classic but I no longer see the option! Help!","The EndUser reported an issue with switching between Lightning Experience and Salesforce Classic, which is necessary for a specific month-end process. The Agent explained that the issue is likely due to a configuration change and suggested involving the system admin to resolve it. The EndUser agreed to a quick call to check the settings.","Inability to switch between Lightning Experience and Salesforce Classic due to a configuration change.","The Agent suggested involving the system admin to reconfigure the settings.","Smokeball Pty Ltd","470166263"
"Hi getting error for","Hi getting error for","The agent inquired if the user was still experiencing an error related to a previously opened case. The user did not respond, leading the agent to close the chat session with instructions to reopen the case or start a new chat if further assistance was needed.","User experiencing an error related to a previously opened case.","The chat was closed due to no response from the user, with instructions to reopen the case or start a new chat for further assistance.

dup of 470166891","Magellan Financial & Insurance Services, Inc.","470167039"
"Deactivating user issue","Deactivating user issue","The end user faced issues deactivating a user in Salesforce and received an error message. The chatbot provided steps to deactivate a user and potential reasons for the error. The end user requested live support and was connected to an agent who suggested a screen-sharing session to troubleshoot the issue. The agent identified that the user could not be deactivated because they were the default owner of records created by guest users.","User deactivation error in Salesforce.","The agent recommended following specific steps to resolve the issue.

Help And Training Community
https://help.salesforce.com/s/articleView?id=000381030&type=1","Invacus","470175143"
"Can't make a decision flow to activate/deactivate a checkbox field","Can't make a decision flow to activate/deactivate a checkbox field","The EndUser reported issues with a flow. The Agent suggested a screen-sharing session to troubleshoot the problem. The session was conducted, and the Agent asked the EndUser to end the chat if there were no further questions.","Issues with a flow","The issue was addressed through a screen-sharing session.","TigerConnect, Inc.","470175903"
"I'm new to Agilysys and it's been a few years since I've used salesforce. How do I create email outreach templates?","I'm new to Agilysys and it's been a few years since I've used salesforce. How do I create email outreach templates?","The end user inquired about creating email outreach templates in Salesforce. The agent provided detailed steps for creating a template in the Lightning experience and addressed an error related to copying and pasting text. The agent suggested using a text editor to remove formatting and offered to assist via a screen-sharing session.","Creating email templates and resolving formatting errors in Salesforce.","The agent provided step-by-step instructions and offered a screen-sharing session for further assistance.","Agilysys","470186799"
"Is there a way to retrieve the previous sandbox data?","Is there a way to retrieve the previous sandbox data?","The conversation revolves around the end user's request to retrieve old data from a sandbox that was refreshed on January 28 or 29. The agent confirms the details and requests additional information such as the sandbox orgID. The conversation concludes with an agreement to connect via a quick call.","Retrieving old data from a refreshed sandbox.","The issue was escalated to a quick call for further assistance.","The YGS Group","470187160"
"Need help on field visibility on Lightning Page when the field is required.","Need help on field visibility on Lightning Page when the field is required.","The conversation involved the end user seeking assistance with field visibility on a Lightning Page when the field is required. The agent requested contact information and suggested a screen-sharing session to troubleshoot the issue. The session concluded with the agent offering further assistance if needed.","Field visibility on Lightning Page when the field is required.","The agent suggested a screen-sharing session to collaboratively troubleshoot the issue.","AXS Group Finance","470189026"
"Package installation failing in sandbox(sfprojuat)","Package installation failing in sandbox(sfprojuat)","The agent attempted to connect with the customer but received no response. The agent noted that a ticket had already been opened with the backend signature team and decided to close the chat to avoid duplication.","Customer non-responsiveness and existing ticket","The agent closed the chat to avoid duplication and assured the customer that the signature team would assist them.","DocuSign, Inc.","470189164"
"Flow expert assistance","Flow expert assistance","The end user requested to speak with a flow expert and was provided with tenant details by the chatbot. The end user confirmed the need to chat with an engineer and was connected to a service representative. The end user inquired about flow and loop elements and the use of variables, and the agent provided a meeting link for further assistance.","Inquiry about flow and loop elements and the use of variables.","The agent provided a meeting link for further assistance.","Quinn Emanuel Urquhart & Sullivan","470199565"
"unsupported Legacy API Version","unsupported Legacy API Version","The conversation focused on resolving an issue with an unsupported Legacy API version in Salesforce. The agent advised updating the version reference in the JavaScript path to a supported API version. The end user confirmed finding the outdated reference and was guided to update it to version 58.0. The agent clarified that the retirement of API versions 21.0 through 30.0 will be automatically enforced by the Summer '25 release.","Unsupported Legacy API version in Salesforce.","Read chat transcript for full details.","Royal Canin Canada Inc","470199662"
"switching sales engagement users","switching sales engagement users","The end user requested to give sales engagement user access to a new user by replacing a current user due to seat limitations. The agent suggested discussing the matter over a call or assigning sales engagement permission sets to the desired user. The conversation concluded with the agent providing a meeting link for further discussion.","Request for sales engagement user access for a new user.","The agent provided a meeting link for further discussion

https://help.salesforce.com/s/articleView?id=sales.hvs_setup_assign.htm&type=5","HD Bros","470221067"
"Unable to reset email for user","Unable to reset email for user","The end user reported an issue with resetting the password for a user. The agent requested additional details and suggested a screen-sharing session to troubleshoot the issue. The end user provided the necessary user information and agreed to a call.","Password reset issue for a user.","The agent and end user agreed to a call to resolve the issue.

https://help.salesforce.com/s/articleView?id=000383887&type=1","Kinetik Capital","470221387"
"Custom Field Help - Pull date off of Product","Custom Field Help - Pull date off of Product","The end user is working on creating a custom field that pulls a date from a product name but is struggling to find the correct fields. The agent suggests a screen-sharing session to troubleshoot the issue.","Difficulty in creating a custom field to pull a date from a product name.","The agent proposed a screen-sharing session to collaboratively troubleshoot the issue.

The custom formula field on opportunity cannot be created that can capture product information as there is no direct relationship between these two objects.","METRASENS","470221757"
"Hello. We have a request to provide some changes to the Amount field on the Opportunities related list. Please assist.","Hello. We have a request to provide some changes to the Amount field on the Opportunities related list. Please assist.","The agent assisted the end user with an issue related to the amount field on an opportunity. They proposed a screen-sharing session to troubleshoot the problem. The session concluded with the agent asking the end user to end the chat if there were no further questions.","Issue with the amount field on an opportunity.","The agent proposed a screen-sharing session to resolve the issue.

Helped customer configured dynamic related list that shows Estimated total amount field of opportunities with project record type under account","Hunter Industries Inc.","470222427"
"Sandbox login issue","Sandbox login issue","The end user was unable to log into the Salesforce sandbox due to an email address issue. The chatbot provided troubleshooting steps and suggested updating the email address. The agent ultimately resolved the issue by removing the '.invalid' suffix and resetting the password.","Unable to log into Salesforce sandbox due to email address issue.","The agent removed the '.invalid' suffix from the email address and reset the password.","Jeppesen | ForeFlight","470222677"
"Help refresh full sandbox so that storage upgrade reflects on our full sandbox","Help refresh full sandbox so that storage upgrade reflects on our full sandbox","The end user requested assistance to refresh a full sandbox to reflect a recent storage upgrade. The agent explained that the sandbox could not be manually refreshed due to a cooldown period. The conversation ended without further resolution as the end user stopped responding.","Request to manually refresh a full sandbox before the cooldown period ends.","The agent informed the end user that the support team cannot manually refresh sandboxes and the cooldown period must be observed.","UCLA - Support","470222688"
"I want to know if i can restrict some record types for specific users","I want to know if i can restrict some record types for specific users","The end user inquired about restricting visibility of contacts to a specific record type. The agent asked about the OWD settings and suggested a screen-sharing session to troubleshoot. The end user agreed and later requested to close the case after receiving a clear explanation.","Visibility of contacts not related to a specific record type.","The agent proposed a screen-sharing session to address the issue and provided a clear explanation.","Boston Scientific Corporation**","470230312"
"Products not showing up for 1 price book","Products not showing up for 1 price book","The agent and the end user exchanged greetings and confirmed their well-being. The agent inquired about the use of CPQ, which the end user denied. They agreed to a screen-sharing session to troubleshoot the issue. The session concluded with the agent offering further assistance if needed.","Troubleshooting an unspecified issue.","A screen-sharing session was conducted to address the issue.

the price book entry currency was CAD while opty currency was USD and thats why it was not appearing on the opportunity.","WORLD EDUCATION SERVICES INC","470231654"
"SFDC triggered flow, want to only fire when the B2BMA user is updating the campaign member","SFDC triggered flow, want to only fire when the B2BMA user is updating the campaign member","The conversation involved troubleshooting a flow in a sandbox environment. The EndUser sought confirmation on the correct formula and user ID to trigger the flow. The Agent confirmed the details and suggested debugging steps. The issue was resolved when the flow eventually fired correctly.","Troubleshooting a flow in a sandbox environment.","The flow fired correctly after confirming the correct user ID and formula.","Corsearch BV","470231977"
"Does SF enforces TLS (https, SSL) for access to its API(s), built in and the custom ones you've built? i.e. non-SSL HTTP calls are rejected.","Does SF enforces TLS (https, SSL) for access to its API(s), built in and the custom ones you've built? i.e. non-SSL HTTP calls are rejected.","The conversation focused on the enforcement of TLS for Salesforce API endpoints, including custom RestResources. The agent confirmed that Salesforce enforces TLS 1.3 for all API interactions and that no explicit settings are required to enable it.","Clarification on TLS enforcement for Salesforce API endpoints.","Salesforce enforces TLS 1.3 for all API interactions automatically.

Information shared to cx based on below articles:
https://help.salesforce.com/s/articleView?id=release-notes.rn_security_other_tls1_3.htm&release=252&type=5

https://medium.com/@aleksej.gudkov/salesforce-tls-version-c0321bd2a35e

https://www.salesforce.com/blog/rsa-key-exchange/#:~:text=Salesforce's%20implementation%20of%20TLS%201.3,in%20security%2C%20providing%20improved%20encryption.

https://help.salesforce.com/s/articleView?id=release-notes.rn_networks_tls_cruc_enforced.htm&release=222&type=5","Milestone Consulting LLC","470232441"
"I would like help changing a User to a new name and email. The person is replacing someone in our org who needs all of the same permissions, list views, records, etc. I don't know if I can change the email address, username and name all at once.","I would like help changing a User to a new name and email. The person is replacing someone in our org who needs all of the same permissions, list views, records, etc. I don't know if I can change the email address, username and name all at once.","The conversation involved the EndUser seeking assistance to change a user's name, email, and permissions in their organization. The Agent confirmed that these changes could be made simultaneously and offered to assist via a call. The EndUser accepted the offer for a call and expressed gratitude for the help.","Assistance needed to change user details and permissions.","The Agent confirmed the changes could be made and offered to assist via a call.","Maxwell Leadership, Inc.","470232955"
"chatter feed on opportunity product.","chatter feed on opportunity product.","The end user inquired about adding a chatter feed to the opportunity products layout. The agent tested the scenario in a demo organization and suggested a screen-sharing session, which the end user could not accommodate. The agent then provided steps to grant login access and confirmed that adding a chatter feed to opportunity products is not possible. The agent listed alternative objects for feed tracking and concluded the chat due to no further response from the end user.","Inquiry about adding chatter feed to opportunity products layout.","The agent confirmed that it is not possible to add a chatter feed to opportunity products and provided alternative options.","Carrum Health","470234045"
"Flow Support","Flow Support","The end user requested to be connected to a support agent for assistance with creating a flow to add events to a public calendar. The agent suggested a quick call to resolve the issue. The end user agreed and took a brief moment before proceeding. The agent provided a case number and closed the chat session.","Assistance needed for creating a flow to add events to a public calendar.","The agent suggested a quick call and provided a case number for follow-up.","Quinn Emanuel Urquhart & Sullivan","470234218"
"Not able to edit metadata","Not able to edit metadata","The conversation involves troubleshooting an error encountered by the end user while trying to edit metadata. The agent suggests a screen-sharing session to collaboratively resolve the issue.","Error encountered while editing metadata.","The agent proposed a screen-sharing session to troubleshoot the issue.

Solution: https://help.salesforce.com/s/articleView?id=000384700&type=1","The Mark Spain Team (2nd Org)","470234471"
"Connect to agent","Connect to agent","The end user requested to be connected to a specific agent and provided details about their tenant. The agent asked for additional information regarding the cloud service being used. The conversation concluded with the agent offering further assistance if needed.","Request to connect with a specific agent and provide cloud service details.","dup of 470234218","Quinn Emanuel Urquhart & Sullivan","470234575"
"I am unable to deploy a flow that uses Apex. I was advised to update the test class code. How do I do this?","I am unable to deploy a flow that uses Apex. I was advised to update the test class code. How do I do this?","The conversation involved troubleshooting an error related to deploying a flow. The end user requested a screenshare to demonstrate the issue.","Error in deploying flow","code coverage was 66%. Advised user to reconfigure the test class to cover atleat 75%","Youth Frontiers Inc","470242051"
"lead conversion code to test","lead conversion code to test","The end user was testing the chat window functionality due to previous visibility issues caused by their company's IT infrastructure. The test was successful, and the end user requested to close the case.","Chat window visibility issues due to company IT infrastructure.","this was a test chat raised by customer","Collinson Central Services","470242647"
"Service on a flow","Service on a flow","The end user requested service on a flow and was provided with resources by the chatbot. The user then requested customer support and was connected to an agent after logging in. The user described an issue with a flow condition, and the agent suggested a solution involving a boolean formula field.","Issue with flow condition using a formula.","Agent suggested creating a boolean formula field to resolve the issue.","SUNation Energy","470244439"
"I need to upload a new single sign on certificate and don't see the button to upload in settings","I need to upload a new single sign on certificate and don't see the button to upload in settings","The end user requested assistance with uploading a single sign-on certificate in Salesforce. The agent asked for the user's phone number and time zone, and then agreed to a screenshare to resolve the issue.","Assistance with uploading a single sign-on certificate in Salesforce.","The agent agreed to a screenshare to help the end user.

Steps to upload a new certificate
1. Edit the Single Sign-On settings. In Salesforce Lightning, click the Gear icon, go to Setup | Identity | Single Sign-On Settings. In Classic UI, go to Setup | Administer | Security Controls | Single Sign-On Settings. Select the SSO setting and  Edit
2. Click the 'Choose File' button to upload a new certificate in 'Identity Provider Certificate' field.
3. Save the changes after uploading the new certificate.","CAQH","470264856"
"We have a Custom Metadata Type named ""Brellium Integration Settings"", API name Brellium_Integration_Settings__mdt, in which I had created a List View only visible to myself.  Now, every time I click ""Manage Brellium Integration Settings"" I get an error.","We have a Custom Metadata Type named ""Brellium Integration Settings"", API name Brellium_Integration_Settings__mdt, in which I had created a List View only visible to myself.  Now, every time I click ""Manage Brellium Integration Settings"" I get an error.","The conversation revolves around an error encountered in Salesforce related to custom metadata types. The agent provides steps to resolve the issue by editing the list view filters. The end user attempts the solution but still faces the error, leading to a suggestion for a screen-sharing session.","Error accessing custom metadata type in Salesforce due to unsupported special characters in list view filters.","The agent suggested a screen-sharing session to collaboratively troubleshoot the issue.

https://help.salesforce.com/s/articleView?id=000384700&type=1


[Note: you can't use operators as contains if data type is picklist]","Hopebridge*","470264912"
"Hi  There is app in appp exchange called field trip , just wanted to know whether that app is free or not","Hi  There is app in appp exchange called field trip , just wanted to know whether that app is free or not","The end user greeted the agent and expressed a desire to connect and ask a few questions. The agent confirmed their willingness to assist. The conversation concluded with the agent offering further assistance if needed and closing the chat session.","General inquiry and request for assistance","The agent confirmed their willingness to assist and provided a closing message offering further help if needed.","Fairview Health - Primary Account","470265096"
"Hello, I had a user who had a changed in roles, public groups and manager in our org. I am running into an issue where this user is still tied to a few accounts from a previous public group, and they are still visible on the user's account.","Hello, I had a user who had a changed in roles, public groups and manager in our org. I am running into an issue where this user is still tied to a few accounts from a previous public group, and they are still visible on the user's account.","The conversation involved troubleshooting an issue with record sharing. The agent requested contact information and suggested a screen-sharing session. The issue was resolved after the session.","Issue with record sharing.","Resolved through a screen-sharing session.
Removed the ownership of child records of account in order to delete the manual sharing on account and it worked","Curitec","470265307"
"Sales Emails and Alerts - how to create a joined report to Engage Send by Contact that shows Shipping City and Shipping Street","Sales Emails and Alerts - how to create a joined report to Engage Send by Contact that shows Shipping City and Shipping Street","The EndUser inquired about creating a joined report for Engage Send by Contact with a report that shows Shipping Street and Shipping City for the Contacts. The Agent clarified the request and suggested a call to discuss the details further.","Creating a joined report for Engage Send by Contact with shipping information.","The Agent suggested a call to discuss the details further.","Efficient Capital Management","470266061"
"I'm wondering if there's a way in lightening to unsort the products?","I'm wondering if there's a way in lightening to unsort the products?","The end user inquired about unsorting products on an opportunity in Lightning. The agent confirmed the context and suggested a screen share session to resolve the issue.","Unsorting products on an opportunity in Lightning.","The agent proposed a screen share session to address the issue.","Meso Scale Diagnostics, Llc","470297955"
"Unable to delete flow","Unable to delete flow","The end user was unable to delete a flow in the staging environment. The agent suggested a screen-sharing session to troubleshoot the issue. They identified and deleted entries in failed flow interviews, which resolved the problem.","Unable to delete a flow in the staging environment.","Deleting entries in failed flow interviews resolved the issue.

https://trailhead.salesforce.com/trailblazer-community/feed/0D54S00000A8sNDSAZ","Chartered Professional Accountants of Ontario (CPAO) - Org1","470298384"
"Permission to upload Excel file","Permission to upload Excel file","The end user needed to update a team member's permission to upload an Excel sheet to Salesforce. The chatbot could not find specific articles and suggested logging in to reach a support engineer. After logging in, the end user was connected to an agent who proposed a screen-sharing session to resolve the issue.","Updating a team member's permission to upload an Excel sheet in Salesforce.","The issue was resolved through a screen-sharing session with a support agent.","Robotic Precision Therapy","470298605"
"can we roll up a standard object into a custom object?   context here is we have gross premium at an application level and want ""gross premium"" to roll up into the standard opportunities object...and then create a new custom object that mimics standard","can we roll up a standard object into a custom object?   context here is we have gross premium at an application level and want ""gross premium"" to roll up into the standard opportunities object...and then create a new custom object that mimics standard","The end user inquired about rolling up a standard object into a custom object, specifically regarding the 'gross premium' at an application level. The agent explained that roll-up summary fields are only available in master-detail relationships, which is not feasible for Opportunities. The agent suggested using Salesforce Flow or Apex to aggregate the 'Gross Premium' from Opportunities into a custom object field.","Rolling up a standard object into a custom object.","The agent recommended using Salesforce Flow or Apex to achieve the desired aggregation.

Helped user converting lookup field to MD on application custom object so that we can roll up gross premium from application records to opportunity record","Authentic Insurance Inc.","470309641"
"Lightning app is not showing visible. Have checked to make sure it is visible on the profile, as well the app is showing visible in the app manager.","Lightning app is not showing visible. Have checked to make sure it is visible on the profile, as well the app is showing visible in the app manager.","The end user contacted Salesforce Chat Support regarding an issue where a specific app was not showing as the home page for a user. The agent suggested a screen-sharing session to troubleshoot the issue. The session concluded with the agent offering further assistance if needed.","A specific app not showing as the home page for a user.","The agent suggested a screen-sharing session to troubleshoot the issue.


The app was hidden in app menu under setup. After making it visible to app launcher, user was able to see it.","FirstStudent*","470315929"
"can we make the contact role field required for saving an opportunity?","can we make the contact role field required for saving an opportunity?","The end user inquired about making the 'Contact Role' a required field when saving an opportunity. The agent asked if 'Contact Role' was a custom field and agreed to a screen share to assist further.","Inquiry about making 'Contact Role' a required field in opportunity.","The agent agreed to a screen share to assist further. To make contact roles required on opportunity, use flow+VR or Triggers","Great Rock Capital","470325968"
"Add user to submit support tickets","Add user to submit support tickets","The conversation focused on adding users to a Support Org and enabling them to submit support tickets. The chatbot provided detailed steps for both tasks and eventually connected the user to a live agent for further assistance. The agent confirmed the necessary steps and provided additional information on who could perform the required actions.","Adding users to a Support Org and enabling them to submit support tickets.","The chatbot and agent provided detailed instructions and identified the individuals who could perform the necessary actions.","Dynamic Lifecycle Innovations","470326344"
"""Another user recalled or responded to this request"" Approval Process Error. This is a production go-live blocker. We went live with the approval process but have started getting this error if we try to submit the record for approval. Please assist asap.","""Another user recalled or responded to this request"" Approval Process Error. This is a production go-live blocker. We went live with the approval process but have started getting this error if we try to submit the record for approval. Please assist asap.","The end user reported an approval process error that was blocking their production go-live. The agent suggested a screen-sharing session to troubleshoot the issue. The end user agreed, and the session was conducted.","Approval process error during production go-live.","The issue was addressed through a collaborative screen-sharing session.

Setup debug logs and found there was a flow - Update RecordType on Status change where record type id was hardcoded (id of sandbox)","Lilt","470327631"
"Contact support about a feature","Contact support about a feature","The end user inquired about contact information for support regarding a feature from Veruna. The agent clarified what Veruna is and provided an email address for the Veruna team. The agent also suggested raising a ticket via another email address.","Contact information for support regarding a feature from Veruna.","The agent provided the necessary email addresses for contacting the Veruna team and raising a support ticket.","Colonial Trucking Insurance Services","470328299"
"Need help with products and product tables","Need help with products and product tables","The EndUser requested a live video link. The Agent acknowledged the request and provided the link.","Request for a live video link","The Agent provided the requested link.","Biomerics*","470328373"
"We have a Sale Rep name Oscar Lewis but his is not showing in SF under his initial names. Please confirm","We have a Sale Rep name Oscar Lewis but his is not showing in SF under his initial names. Please confirm","The agent confirmed the presence of a user in the Salesforce organization and provided instructions on how to locate the user. The conversation was closed as the issue was already addressed in another case.","Locating a user in Salesforce","The agent provided instructions and confirmed the user's presence.","Keysteel","470328559"
"I am trying to move object permissions to permission sets. When I assigned permission sets and a profile with no object permissions to a user, they got this error when trying to access Leads and Contacts. So for, all other objects tested have worked.","I am trying to move object permissions to permission sets. When I assigned permission sets and a profile with no object permissions to a user, they got this error when trying to access Leads and Contacts. So for, all other objects tested have worked.","The end user reported an issue with object permissions when moving them to permission sets. They encountered an error when accessing Leads and Contacts, while other objects worked fine. The agent suggested a screen-sharing session to troubleshoot the issue.","Object permissions error when using permission sets.","The agent proposed a screen-sharing session to resolve the issue.","Procare Solutions*","470328822"
"Salesforce email template","Salesforce email template","The end user reported an issue with the Salesforce email builder where column widths were not displaying correctly in test and final emails. The agent suggested transferring the issue to a specialized team and proposed a screen-sharing session to troubleshoot the problem. The end user agreed to a call and screen-sharing session.","Column widths in Salesforce email builder not displaying correctly.","The agent proposed a screen-sharing session to collaboratively troubleshoot the issue.","Central 1 Credit Union","470336875"
"When I edited this report type to include the Account level fields Industry and Subindustry, I was able to save the report type. However, when the fields are used in the report, no results are displayed.  Report Type: Contracts with Renewal Opps","When I edited this report type to include the Account level fields Industry and Subindustry, I was able to save the report type. However, when the fields are used in the report, no results are displayed.  Report Type: Contracts with Renewal Opps","The end user reported an issue with a report type where fields were not displaying results. The agent requested contact information and suggested a screen-sharing session to troubleshoot the issue. The end user provided access and they proceeded with the screen-sharing session.","Fields in a report type not displaying results.","cx added the wrong field, which is causing the issue. Adding the correct find and sub-ind field from the add field via look has done the trick, and we have cx consent to close the case.","Payscale, Inc.*","470337567"
"I would like to create a field on the Campaign Member object that auto-populates with the same value as a field on the Contact object. The problem is that the field on the Contact page is a picklist, so using a formula won't work.","I would like to create a field on the Campaign Member object that auto-populates with the same value as a field on the Contact object. The problem is that the field on the Contact page is a picklist, so using a formula won't work.","The EndUser had an issue with creating a field on the Campaign Member object that auto-populates with a value from a picklist field on the Contact object. The Agent suggested using the TEXT() function in a formula, which resolved the issue.","Difficulty in auto-populating a field from a picklist using a formula.","The issue was resolved by using the TEXT() function in the formula.","Project Guardianship","470338829"
"Sandbox refresh","Sandbox refresh","summary unavailable","issue unavailable","chat ended abruptly","Flex Fleet Rental LLC","470339675"
"Case #470345061","Case #470345061","The conversation involves a brief exchange where the end user requests a Google Meet and provides a phone number. The agent responds affirmatively.","Request for a Google Meet","The agent agreed to the request. Cx wanted to assign case to queue. Used get record element to fetch queue with developer name and then assign owner field with queue id and it resolved the issue","Healthcare Services Group, Inc.","470346668"
"how to create a sharing group","how to create a sharing group","The EndUser inquired about setting up a sharing group and adding a public group to a list view. The Agent clarified that there is no setting like a sharing group and suggested creating a public group instead. The EndUser mentioned a new business support request process and needed guidance on sharing rules. The Agent offered to discuss further via a screen share session.","EndUser needed assistance with setting up a public group and sharing rules for a new business support request process.","The Agent provided guidance on creating public groups and using sharing rules, and offered a screen share session for further assistance.","Western Health Advantage","470347795"
